ID,Recipient_name,Recipient_glottocode,Recipient_iso639-3,Recipient_genus,Donor_name,Donor_glottocode,Donor_iso639-3,Donor_genus,reliability,number_of_interrelated_affixes,number_of_borrowed_affixes,Area,References,Adjectivizer_or_Adverbializer,Particle,Case_Suffixes,Noun,Nominalizer,Number_and_Numeral_Representations,Valency_Changing_Verbal_Suffixes,Verb
http://afbo.info/pairs/1,Resígaro,resi1247,rgr,Arawakan,Bora,bora1263,boa,Boran,high,46,50,South America,"seifartbora2011, seifartprinciple2012, seifartresigaro2009, allingrammar1976",0,0,1,41,0,6,0,2
http://afbo.info/pairs/2,Gurindji Kriol,guri1249,,English-based,Gurindji,guri1247,gue,Pama-Nyungan,high,17,19,Australia & New Guinea,"meakinsborrowing2011, meakinscasemarking2007, mcconvellgurindji2005",0,0,6,3,2,8,0,0
http://afbo.info/pairs/4,Copper Island Aleut,medn1235,mud,Aleut,Russian,russ1263,rus,Slavic,high,14,15,Eurasia,"golovkoaleut1990, sekerinacopper1994, thomasonmednyj1997",0,0,0,0,0,0,0,15
http://afbo.info/pairs/5,Sakha,yaku1245,sah,Turkic,Mongolian,halh1238,khk,Mongolic,high,9,14,Eurasia,"kaluzynskimongolische1962, korkinagrammatika1982, pakendorfcomparison2012, pakendorfcopied2010",5,0,0,0,5,2,0,2
http://afbo.info/pairs/6,Kalderash Romani,vlax1238,rmy,Indic,Romanian,roma1327,ron,Romance,high,6,11,Eurasia,"boretzkymorphologische1991, boretzkyromani1994",1,0,0,2,6,2,0,0
http://afbo.info/pairs/7,Sebjan‑Küöl Ėven,even1260,eve,Tungusic,Sakha,yaku1245,sah,Turkic,high,21,22,Eurasia,"pakendorfintensive2009, pakendorfcomparison2012, pakendorfcopied2010",0,0,0,0,0,1,0,21
http://afbo.info/pairs/8,Northern Tajik,taji1245,tgk,Iranian,Uzbek,nort2690,uzn,Turkic,mid,9,11,Eurasia,"doerferturkische1967, rastorguevaopyt1964, boretzkymorphologische2004",1,0,6,0,2,2,0,0
http://afbo.info/pairs/10,Indonesian,indo1316,ind,Malayic,Sanskrit,sans1269,san,Indic,high,18,18,Southeast Asia & Oceania,"verhaarloanwords1984, purwoaffixation1984, kayeindonesian2007, tadmorloanwords20091",0,0,0,0,2,16,0,0
http://afbo.info/pairs/11,Uchur Ėvenki,even1259,evn,Tungusic,Sakha,yaku1245,sah,Turkic,high,7,8,Eurasia,"urelandrussian2003, boeschotenyakut2006, myreevaocerk1964",0,0,0,0,0,1,0,7
http://afbo.info/pairs/12,Middle English,midd1317,enm,Germanic,Norman French,angl1258,xno,Romance,high,7,8,Eurasia,"daltonpufferfrench1996, palmerborrowings2009, ciszekword2008",1,0,0,0,7,0,0,0
