Language_index,Language,Population,Count,Donor,Affix_num,Donor_index,Macroarea
1000.0,Resígaro,1,1,Bora,50,1092.0,South America
1001.0,Gurindji Kriol,1000,1,Gurindji,19,1093.0,Australia & New Guinea
1002.0,Copper Island Aleut,6000,1,Russian,15,1094.0,Eurasia
1003.0,Sakha,450000,2,Mongolian,14,1095.0,Eurasia
1004.0,Kalderash Romani,200000,1,Romanian,11,1096.0,Eurasia
1004.0,Kalderash Romani,200000,1,Greek,5,1106.0,Eurasia
1005.0,Sebjan‑Küöl Ėven,250,1,Sakha,22,1003.0,Eurasia
1006.0,Northern Tajik,8100000,1,Uzbek,11,1097.0,Eurasia
1007.0,Indonesian,210000000,2,Sanskrit,18,1098.0,Southeast Asia & Oceania
1007.0,Indonesian,210000000,2,Dutch,13,1105.0,Southeast Asia & Oceania
1007.0,Indonesian,210000000,2,Arabic,1,1122.0,Southeast Asia & Oceania
1008.0,Uchur Ėvenki,38400,1,Sakha,8,1003.0,Eurasia
1009.0,Middle English,0,1,Norman French,8,1099.0,Eurasia
1010.0,Chabacano,700000,1,Visayan,8,1100.0,Southeast Asia & Oceania
1011.0,Bilin,91000,1,Tigre,8,1101.0,Africa
1012.0,Albanian,7500000,1,Bosnian/Croatian/Serbian,14,1102.0,Eurasia
1012.0,Albanian,7500000,1,Turkish,6,1057.0,Eurasia
1013.0,Cajamarca Quechua,30000,1,Spanish,7,1103.0,South America
1014.0,Uru,5343,1,Aymara,6,1104.0,South America
1015.0,Israeli Hebrew,9000000,1,Russian,6,1094.0,Eurasia
1016.0,Cappadocian Greek,2800,1,Turkish,5,1057.0,Eurasia
1017.0,Kormakiti,140,1,Greek,5,1106.0,Eurasia
1018.0,Siwi,20000,1,Libyan Arabic,5,1107.0,Africa
1019.0,Warndarang,0,1,Nunggubuyu,5,1108.0,Australia & New Guinea
1020.0,Garifuna,200000,1,Carib,2,1109.0,North America
1021.0,Mari,500000,1,Chuvash,12,1110.0,Eurasia
1022.0,Chantyal,4300,1,Nepali,4,1111.0,Eurasia
1023.0,Ritharngu,32,1,Ngandi,4,1026.0,Australia & New Guinea
1024.0,Guina‑ang Bontok,19600,1,Ilokano,3,1112.0,Southeast Asia & Oceania
1025.0,Sonqor Turkic,40000,1,Kurdish,5,1113.0,Eurasia
1026.0,Ngandi,0,1,Ritharngu,2,1023.0,Australia & New Guinea
1027.0,Danisi,2000,1,Kxoe languages,2,1114.0,Africa
1028.0,Istro‑Romanian,1100,1,Croatian,8,1115.0,Eurasia
1029.0,Koasati,370,1,Quapaw,1,1116.0,North America
1030.0,Hasankeyf Arabic,9921,1,Aramaic,2,1117.0,Eurasia
1031.0,Sri Lanka Portuguese,30,1,Tamil,2,1118.0,Eurasia
1032.0,Kayardild,25,1,Northern Nyungic,1,1119.0,Australia & New Guinea
1032.0,Kayardild,25,1,Karrwa,1,1137.0,Australia & New Guinea
1033.0,Sumerian,0,1,Akkadian,1,1120.0,Eurasia
1034.0,Torau,600,1,Naasioi,1,1121.0,Southeast Asia & Oceania
1035.0,Maltese,520000,1,Sicilian Italian,4,1123.0,Eurasia
1036.0,Kharia,297614,1,Sadri,2,1124.0,Eurasia
1036.0,Kharia,297614,1,Hindi,1,1138.0,Eurasia
1037.0,Ingrian Finnish,120,1,Estonian,2,1125.0,Eurasia
1038.0,Malagasy,25000000,1,Swahili,2,1126.0,Africa
1038.0,Malagasy,25000000,1,Banjar Malay,4,1127.0,Africa
1039.0,Wayampi‑Emerillon‑Zo’é,150,1,intermediate Proto‑Carib,1,1128.0,South America
1040.0,Hawaiian,24000,1,English,1,1129.0,Southeast Asia & Oceania
